???	нсв_есть	есть¹
???	нсв_b/c_клясть	клясть
1	нсв_1a	озвучивать
1	нсв_1a	развёрстывать
1	нсв_1a	насеивать
1	нсв_1a	приворовывать
1	нсв_1a	подгружать
1	нсв_1a	доклеивать
1	нсв_1a	вычислять
1	нсв_1a	расчехлять
1	нсв_1a	начитывать¹
1	нсв_1a	совлекать
1	нсв_1a	занюхивать
1	нсв_1a	недооценивать
1	нсв_1a	подсоединять
1	нсв_1a	переклинивать
1	нсв_1a	перетачивать²
1	нсв_1a	разнеживать
1	нсв_1a	нацеживать
1	нсв_1a	переоценивать
1	нсв_1a	раззолачивать
1	нсв_1a	поворачивать
1	нсв_1a	пересупонивать
1	нсв_1a	перекантовывать
1	нсв_1a	присватывать
1	нсв_1a	посвящать
1	нсв_1a	счеканивать
1	нсв_1a	защемлять
1	нсв_1a	подтоплять
1	нсв_1a	переизбирать
1	нсв_1a	тукать
1	нсв_1a	отрыгивать
1	нсв_1a	заготавливать
1	нсв_1a	выкатывать¹
1	нсв_1a	разливать
1	нсв_1a	вымаривать
1	нсв_1a	вгибать
1	нсв_1a	нашпиговывать
1	нсв_1a	переворашивать
1	нсв_1a	поджигать
1	нсв_1a	перекачивать
1	нсв_1a	уразумевать
1	нсв_1a	дотирать
1	нсв_1a	опутывать
1	нсв_1a	разверчивать
1	нсв_1a	подсаливать²
1	нсв_1a	откручивать
1	нсв_1a	разматывать
1	нсв_1a	умножать
1	нсв_1a	подсвечивать
1	нсв_1a	замазывать
1	нсв_1a	растравливать
1	нсв_1a	вдыхать
1	нсв_1a	оскорблять
1	нсв_1a	придерживать
1	нсв_1a	отматывать
1	нсв_1a	обползать
1	нсв_1a	напаивать²
1	нсв_1a	состёгивать²
1	нсв_1a	нагребать
1	нсв_1a	выпарывать
1	нсв_1a	сопоставлять
1	нсв_1a	оттапливать
1	нсв_1a	засиживать
1	нсв_1a	отчерпывать
1	нсв_1a	обхлёстывать
1	нсв_1a	наслуживать
1	нсв_1a	обрезать
1	нсв_1a	взгромождать
1	нсв_1a	перебрызгивать
1	нсв_1a	притирать
1	нсв_1a	обкатывать¹
1	нсв_1a	обсаливать²
1	нсв_1a	опоганивать
1	нсв_1a	окачивать
1	нсв_1a	рассасывать
1	нсв_1a	разрезать
